tick,alive_count,births,deaths,mean_energy,mean_genome_len,unique_phenotypes,metabolic_diversity,signal_clusters,total_resources
0,59977,0,23,650,96,59977,39246,39363,105993370
100,262111,215018,12884,5616,96,117422,45601,45569,2376283
200,262112,13750,13749,7536,96,118687,45684,45639,2376359
300,262112,13819,13819,9367,96,119766,45738,45734,2375637
400,262101,14263,14274,11100,96,120936,45845,45858,2375766
500,262101,14385,14385,12750,96,121830,45903,45963,2375121
600,262110,14370,14361,14325,96,122817,45954,46062,2376347
700,262112,14442,14440,15825,96,123650,46015,46073,2376302
800,262098,14712,14726,17245,96,124524,46115,46143,2376173
900,262120,14577,14555,18581,96,125277,46106,46198,2375939
1000,262123,14197,14194,19851,96,126028,46124,46271,2376453
1100,262110,14207,14220,21047,96,126641,46135,46303,2376188
1200,262112,14257,14255,22164,96,127293,46160,46339,2377036
1300,262108,13933,13937,23262,96,127827,46154,46371,2376980
1400,262120,14160,14148,24280,96,128294,46129,46391,2376354
1500,262120,14192,14192,25217,96,128694,46147,46423,2376814
1600,262101,14170,14189,26111,96,129040,46127,46430,2377754
1700,262109,14025,14017,26970,96,129411,46108,46451,2378006
1800,262109,14254,14254,27760,96,129730,46087,46474,2377219
1900,262107,13879,13881,28546,96,130163,46080,46496,2378426
2000,262119,14030,14018,29242,96,130639,46065,46502,2378854
2100,262106,14158,14171,29910,96,130989,46014,46457,2379018
2200,262107,14219,14218,30514,96,131356,45984,46447,2379577
2300,262114,14003,13996,31114,96,131809,45958,46435,2379845
2400,262106,14203,14211,31634,96,131969,45957,46407,2379489
2500,262106,13858,13858,32186,96,132159,45924,46411,2379102
2600,262115,13926,13917,32683,96,132394,45898,46360,2379417
